Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","18","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","064","Bhoutan","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","064","Bhoutan","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","485","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","474","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","62","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","66","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","12","I","Valeur imputée"
